S No,Occupational Title,NCO 2015,NCO 2004,Division,Sub Division,Group,Family,Division Description,Sub Division Description,Group Description,Family Description,Occupation Description
1,"Finance Managers, Others",1211.9900,1231.9,Managers,Administrative and Commercial Managers,Business Services and Administration Managers,Finance Managers,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within administrative and commercial managers, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to business services and administration managers functions within organizations.","This family includes closely related job roles centered around finance managers, with shared responsibilities, tools, and work objectives.","A Finance Managers, Others performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
2,"General Manager, Bank",1211.0100,1307.10,Managers,Administrative and Commercial Managers,Business Services and Administration Managers,Finance Managers,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within administrative and commercial managers, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to business services and administration managers functions within organizations.","This family includes closely related job roles centered around finance managers, with shared responsibilities, tools, and work objectives.","A General Manager, Bank performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
3,"General Manager, Insurance",1211.0200,1307.20,Managers,Administrative and Commercial Managers,Business Services and Administration Managers,Finance Managers,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within administrative and commercial managers, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to business services and administration managers functions within organizations.","This family includes closely related job roles centered around finance managers, with shared responsibilities, tools, and work objectives.","A General Manager, Insurance performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
4,"Purser, Ship",1211.0300,1231.10,Managers,Administrative and Commercial Managers,Business Services and Administration Managers,Finance Managers,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within administrative and commercial managers, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to business services and administration managers functions within organizations.","This family includes closely related job roles centered around finance managers, with shared responsibilities, tools, and work objectives.","A Purser, Ship performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
5,"Director, Construction",1120.1300,1213.50,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to managing directors and chief executives functions within organizations.","This family includes closely related job roles centered around managing directors and chief executives, with shared responsibilities, tools, and work objectives.","A Director, Construction performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
6,"Working Proprietor, Lodging and Catering Services",1120.2900,1217.10,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to managing directors and chief executives functions within organizations.","This family includes closely related job roles centered around managing directors and chief executives, with shared responsibilities, tools, and work objectives.","A Working Proprietor, Lodging and Catering Services performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
7,"Director, Mines",1120.1400,1213.60,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to managing directors and chief executives functions within organizations.","This family includes closely related job roles centered around managing directors and chief executives, with shared responsibilities, tools, and work objectives.","A Director, Mines performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
8,"Director, Lodging and Catering Services/Director Food and Beverage Service",1120.3000,1217.20,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to managing directors and chief executives functions within organizations.","This family includes closely related job roles centered around managing directors and chief executives, with shared responsibilities, tools, and work objectives.","A Director, Lodging and Catering Services/Director Food and Beverage Service performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
9,"Managing Directors and Chief Executives, Others",1120.9900,1211.90,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to managing directors and chief executives functions within organizations.","This family includes closely related job roles centered around managing directors and chief executives, with shared responsibilities, tools, and work objectives.","A Managing Directors and Chief Executives, Others performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
10,"Director, Quarry",1120.1500,1213.70,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to managing directors and chief executives functions within organizations.","This family includes closely related job roles centered around managing directors and chief executives, with shared responsibilities, tools, and work objectives.","A Director, Quarry performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
11,Executive Chef,1120.3100,1217.30,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to managing directors and chief executives functions within organizations.","This family includes closely related job roles centered around managing directors and chief executives, with shared responsibilities, tools, and work objectives.","A Executive Chef performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
12,"Director, Well Drilling",1120.1600,1213.80,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to managing directors and chief executives functions within organizations.","This family includes closely related job roles centered around managing directors and chief executives, with shared responsibilities, tools, and work objectives.","A Director, Well Drilling performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
13,"Working Proprietor, Recreation and Entertainment",1120.3200,1218.10,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to managing directors and chief executives functions within organizations.","This family includes closely related job roles centered around managing directors and chief executives, with shared responsibilities, tools, and work objectives.","A Working Proprietor, Recreation and Entertainment performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
14,"Working Proprietor, Electricity",1120.0100,1211.10,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to managing directors and chief executives functions within organizations.","This family includes closely related job roles centered around managing directors and chief executives, with shared responsibilities, tools, and work objectives.","A Working Proprietor, Electricity performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
15,"Working Proprietor, Manufacturing/Proprietor, Manufacturing",1120.1700,1214.10,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to managing directors and chief executives functions within organizations.","This family includes closely related job roles centered around managing directors and chief executives, with shared responsibilities, tools, and work objectives.","A Working Proprietor, Manufacturing/Proprietor, Manufacturing performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
16,"Director, Recreation and Entertainment",1120.3300,1218.20,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to managing directors and chief executives functions within organizations.","This family includes closely related job roles centered around managing directors and chief executives, with shared responsibilities, tools, and work objectives.","A Director, Recreation and Entertainment performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
17,"Working Proprietor, Gas",1120.0200,1211.20,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to managing directors and chief executives functions within organizations.","This family includes closely related job roles centered around managing directors and chief executives, with shared responsibilities, tools, and work objectives.","A Working Proprietor, Gas performs role-specific duties associated with this occupation, applying relevant skills, knowledge, and experience to fulfill organizational or industry requirements."
