S No,Occupational Title,NCO 2015,NCO 2004,Division,Sub Division,Group,Family,Division Description,Sub Division Description,Group Description,Family Description,Occupation Description
1,"Elected Official, Union Government",1111.0100,1111.10,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Legislators,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to legislators and senior officials functions within organizations.","This family includes closely related job roles centered around legislators, with shared responsibilities, tools, and work objectives.","Elected Official, Union Government serves in various capacities in legislative and executive branches of Union Government. Performs administrative, executive or advisory functions, which include serving as head of the Indian Union; presiding over deliberations Houses Parliament; leading council of ministers of Union Government; shaping, determining and defining government policies and directing their application and execution through departmental heads; representing interests voters Parliament, committees and commissions; and taking part in making, amending or repealing laws. Is designated according to work performed or post held, such as: PRESIDENT OF INDIA; RASHTRAPATI. VICE PRESIDENT OF INDIA; UP-RASHTRAPATI. SPEAKER, LOK SABHA. CHAIRMAN, RAJYA SABHA. PRIME MINISTER OF INDIA. MINISTER, UNION GOVERNMENT. MEMBER OF PARLIAMENT. ISCO 08 Unit Group Details: Code Title Legislators"
2,"Elected Official, State Government",1111.0200,1112.10,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Legislators,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to legislators and senior officials functions within organizations.","This family includes closely related job roles centered around legislators, with shared responsibilities, tools, and work objectives.","Elected Official, State Government serves in various capacities in legislative and executive branches of State Government. Performs, administrative, executive or advisory functions, which include leading council of ministers of State Government; shaping, determining and defining government policies, and directing application and execution of government policies through departmental heads; presiding over deliberations of Houses of State Legislatures; committees and commissions; and taking part in making, amending or repealing laws. Is designated according to work performed or post held, such as: CHIEF MINISTER. MINISTER, STATE GOVERNMENT. CHAIRMAN, LEGISLATIVE COUNCIL. SPEAKER, LEGISLATIVE ASSEMBLY. MEMBER, LEGISLATIVE ASSEMBLY. ISCO 08 Unit Group Details: Code Title Legislators"
3,"Elected Official, Local Bodies",1111.0300,1113.10,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Legislators,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to legislators and senior officials functions within organizations.","This family includes closely related job roles centered around legislators, with shared responsibilities, tools, and work objectives.","Elected Official, Local Bodies serves in various capacities in policy making and executive branches of local bodies. Performs administrative, executive or advisory functions in matters entrusted to local bodies e.g. public health, sanitation, primary education, building and road construction, drainage, street-lighting, raising and collection of admissible local taxes and their proper administration, and all other connected matters for the benefit local people, including enforcement of local laws and emergency measures as necessary. Is designated according to work performed or post held such as: MAYOR, MUNICIPAL CORPORATION. COUNCILLOR, CITY MUNICIPAL CORPORATION. CHAIRMAN, CITY MUNICIPAL CORPORATION. CHAIRMAN, MUNICIPALITY. MEMBER MUNICIPALITY. CHAIRMAN, DISTRICT BOARD. MEMBER, DISTRICT BOARD. CHAIRMAN, CANTONMENT BOARD. MEMBER, CANTONMENT BOARD. CHAIRMAN, TOWN AREA COMMITTEE. MEMBER, TOWN AREA COMMITTEE. CHAIRMAN, BLOCK SAMITI. SARPANCH, PANCHAYAT. MEMBER, PANCHAYAT. ISCO 08 Unit Group Details: Code Title Legislators"
4,"Legislators, Other",1111.9900,1119.90,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Legislators,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to legislators and senior officials functions within organizations.","This family includes closely related job roles centered around legislators, with shared responsibilities, tools, and work objectives.","Elected Officials, Other include all other Elected Officials performing administrative, executive or advisory functions in educational, religious, social, political and community welfare organizations and such other permanent or ad-hoc private bodies, not else-where classified. ISCO 08 Unit Group Details: Code Title Legislators Family Senior Government Officials Senior government officials advise governments on policy matters, oversee the interpretation and implementation of government policies and legislation by government departments and agencies, represent their country abroad and act on its behalf, or carry out similar tasks in intergovernmental organizations. They plan, organize, direct, control and evaluate the overall activities of municipal or local, regional and national government departments, boards, agencies commissions accordance with legislation and policies established by government and legislative bodies."
5,"Administrative Official, Union Government",1112.0100,1121.10,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Senior Government Officials,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to legislators and senior officials functions within organizations.","This family includes closely related job roles centered around senior government officials, with shared responsibilities, tools, and work objectives.","Government Administrative Official, Union Government serves in various capacities under Union Government. Performs administrative and advisory functions, which include advising minister on all matters of policy and administration within his sphere responsibility; organizing and directing work of ministries and departments; taking policy decisions extent authorized; supervising execution and implementation of policies and decisions by field or subordinate offices etc. Is designated according to work performed or post held, such as: MEMBER, OF UNION PUBLIC SERVICE COMMISSION. MEMBER, CENTRAL BOARD OF REVENUE. MEMBER, RAILWAY BOARD. MEMBER PLANNING COMMISSION. SECRETARY TO THE GOVERNMENT OF INDIA JOINT SECRETARY THE GOVERNMENT INDIA. DEPUTY SECRETARY TO THE GOVERNMENT OF INDIA. UNDER SECRETARY THE GOVERNMENT INDIA. DIRECTOR- GENERAL, CIVIL AVIATION. DIRECTOR GENERAL, ALL INDIA RADIO DIRECTOR- GENERAL, POSTS AND TELEGRAPHS. DIRECTOR-GENERAL, SUPPLIES AND DISPOSALS. DIRECTOR-GENERAL SHIPPING. DIRECTOR-GENERAL EMPLOYMENT AND TRAINING. CONTROLLER AND AUDITOR GENERAL. CONTROLLER, IRON AND STEEL. COMMISSIONER, TEXTILE. CUSTODIAN GENERAL. CHIEF CONTROLLER IMPORTS AND EXPORTS. CHIEF COMMISSIONER, ELECTION. CHIEF COMMISSIONER, LABOUR COMMISSIONER, SALT. REGISTRAR- GENERAL, CENSUS. ISCO 08 Unit Group Details: Code Title Senior Government Officials"
6,Diplomat,1112.0200,1121.20,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Senior Government Officials,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to legislators and senior officials functions within organizations.","This family includes closely related job roles centered around senior government officials, with shared responsibilities, tools, and work objectives.","Diplomat represents Union of India in other countries international organizations, meetings and conferences. Interprets policies of Indian Government in foreign countries and advises his Government matters foreign relations, trade, commerce, etc. Negotiates and enters into agreements with other countries and nations. Issues visas to foreigners for visit to India and looks after welfare of Indians abroad, and generally promotes interest his country. Is designated according to rank held or work performed, such as: AMBASSADOR HIGH COMMISSIONER ENVOY MINISTER (DIPLOMAT) PERMANENT REPRESENTATIVE COUNSEL GENERAL CHARGE D AFFAIRS TRADE COMMISSIONER. ISCO 08 Unit Group Details: Code Title Senior Government Officials"
7,"Executive Officials, Union Government",1112.0300,1121.30,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Senior Government Officials,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to legislators and senior officials functions within organizations.","This family includes closely related job roles centered around senior government officials, with shared responsibilities, tools, and work objectives.","Government Executive Official, Union Government serves in various executive capacities in Union Government, giving effect to policies and decisions of Government. Performs or supervises performance of other executives and field duties such as assessing and collecting revenues; issuing passports, licenses and other authorizations; supervising elections; reconciling parties in trade disputes; inspecting offices and establishments; enforcing and implementing various rules, regulations and provisions of law. Is designated according to work performed or post held, such as: COMMISSIONER, DEVELOPMENT COMMISSIONER, INCOME-TAX CUSTODIAN, EVACUEE PROPERTY DIRECTOR OF INSPECTION, CUSTOMS DIRECTOR, MARKETING DIRECTOR OF TRAINING, DIRECTOR OF EMPLOYMENT EXCHANGES, REGIONAL LABOUR COMMISSIONER, COLLECTOR, CENTRAL EXCISE, SUPERINTENDENT, CUSTOMS, INCOME-TAX OFFICER, SUPERINTENDENT, CENTRAL EXCISE, PASSPORT OFFICER, SETTLEMENT OFFICER, CONCILIATION OFFICER (CENTRAL). ISCO 08 Unit Group Details: Code 1112 Title Senior Government Officials"
8,"Administrative Official, State Government",1112.0400,1122.10,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Senior Government Officials,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to legislators and senior officials functions within organizations.","This family includes closely related job roles centered around senior government officials, with shared responsibilities, tools, and work objectives.","Government Administrative Official, State Government serves in various capacities in State Government. Performs administrative and advisory functions which include serving as Head of State; advising ministers, on all matters of policy and administration within his sphere responsibility; organizing and directing work departments; taking policy decisions to the extent authorised; supervising execution and implementation of policies and decisions by field or subordinate officers. Is designated according to work performed post held, such as: GOVERNOR; RAJYAPAL; LIEUTENANT GOVERNOR MEMBER, STATE PUBLIC SERVICE COMMISSION, MEMBER, BOARD OF REVENUE, CHIEF SECRETARY TO GOVERNMENT (STATE), SECRETARY TO GOVERNMENT (STATE), DEPUTY SECRETARY TO GOVERNMENT (STATE), UNDER SECRETARY TO GOVERNMENT (STATE), CHIEF COMMISSIONER DEVELOPMENT, COMMISSIONER DIVISION, DIRECTOR OF EDUCATION, DIRECTOR OF INDUSTRIES. ISCO 08 Unit Group Details: Code 1112 Title Senior Government Officials"
9,"Executive Official, State Government",1112.0500,1122.20,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Senior Government Officials,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to legislators and senior officials functions within organizations.","This family includes closely related job roles centered around senior government officials, with shared responsibilities, tools, and work objectives.","Government Executive Official, State Government serves in various capacities in State Government giving effect to policies and decisions of Government. Performs or supervises performance of executive and field duties which include maintenance of law and order; assessing and collecting taxes, duties, land revenues, etc.; issuing licenses; executing development schemes; reconciling parties in trade disputes; inspecting schools, factories, shops, offices and establishments; and enforcing various rules, regulations and provisions of law. Is designated according to work performed post held, such as: COLLECTOR; DEPUTY COLLECTOR; SUB- DEPUTY COLLECTOR; DEPUTY COMMISSIONER. DISTRICT OFFICER; SUB- DIVISIONAL OFFICER; LAND RECORD OFFICER; TEHSILDAR; SUPERINTENDENT OF POLICE CIRCLE OFFICE; SALES-TAX OFFICER; SUPERINTENDENT, JAIL; JAILOR, SUPERINTENDENT INDUSTRIES DISTRICT INDUSTRIES OFFICER MARKETING OFFICER. RATIONING OFFICER. SUPPLY OFFICER. RENT CONTROL AND EVICTION OFFICER, REGIONAL TRANSPORT OFFICER, DISTRICT PLANNING OFFICER, CO-OPERATIVE OFFICER, CONCILIATION OFFICER (STATE), PANCHAYAT RAJ OFFICER. ISCO 08 Unit Group Details: Code Title Senior Government Officials"
10,"Administrative and Executive Officials, Quasi Government (Central)",1112.0600,1123.10,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Senior Government Officials,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to managers. It represents broad functional leadership or operational responsibility across industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials and legislators, emphasizing domain-specific management, supervision, or technical expertise.","This group consists of related occupations that perform similar tasks, share common skill sets, and contribute to legislators and senior officials functions within organizations.","This family includes closely related job roles centered around senior government officials, with shared responsibilities, tools, and work objectives.","Administrative and Executive Officials, Quasi Government (Central) Administrative and Executive Official, Quasi Government (Central) plans, organizes, co-ordinates and controls within authority delegated, activities of quasi-government organizations, establishment, etc. or one or more of its departments/branches or sections; and includes officials such as: CHAIRMAN, UNIVERSITY GRANTS COMMISSION CHAIRMAN, COAL MINES WELFARE COMMISSION, SECRETARY, INDIAN RED CROSS SOCIETY, SECRETARY, MICA MINES LABOUR WELFARE FUND ADVISORY COMMITTEE, SECRETARY, RAILWAY RATES TRIBUNAL, CONTROLLER OF EMIGRANT LABOUR, DIRECTOR-GENERAL, EMPLOYEES STATE INSURANCE CORPORATION. ISCO 08 Unit Group Details: Code Title Senior Government Officials"
