S No,Occupational Title,NCO 2015,NCO 2004,Division,Sub Division,Group,Family,Division Description,Sub Division Description,Group Description,Family Description,Occupation Description
1,"Elected Official, Union Government",1111.0100,1111.10,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Legislators,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to management. It encompasses broad functional leadership or operational responsibility across various industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials, and legislators, emphasizing domain-specific management, supervision, or technical expertise. It encompasses occupations that require advanced management, leadership, or technical skills in specific areas, often serving as advisors or decision-makers within executive, official, or legislative bodies.","Legislators and Senior Officials 
This group consists of occupations that perform high-level decision-making, leadership, and policy development roles within organizations. They share common skill sets such as strategic thinking, communication, and problem-solving to contribute to the overall success of their organizations.","This family includes closely related job roles centered around legislators, with shared responsibilities, tools, and work objectives. It encompasses various occupations that involve making, amending, or repealing laws and policies at the local, state, or national level.","Elected officials in the Union Government serve in various capacities, including legislative and executive branches, performing administrative, executive, or advisory functions such as shaping government policies and representing voter interests. Designations include President of India, Vice President of India, Speaker of Lok Sabha, Chairman of Rajya Sabha, Prime Minister of India, Minister of the Union Government, and Member of Parliament."
2,"Elected Official, State Government",1111.0200,1112.10,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Legislators,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to management. It encompasses broad functional leadership or operational responsibility across various industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials, and legislators, emphasizing domain-specific management, supervision, or technical expertise. It encompasses occupations that require advanced management, leadership, or technical skills in specific areas, often serving as advisors or decision-makers within executive, official, or legislative bodies.","Legislators and Senior Officials 
This group consists of occupations that perform high-level decision-making, leadership, and policy development roles within organizations. They share common skill sets such as strategic thinking, communication, and problem-solving to contribute to the overall success of their organizations.","This family includes closely related job roles centered around legislators, with shared responsibilities, tools, and work objectives. It encompasses various occupations that involve making, amending, or repealing laws and policies at the local, state, or national level.","Elected officials in the state government serve in various capacities, including leading councils of ministers, shaping government policies, and directing their execution through departmental heads. They also preside over legislative deliberations, participate in lawmaking, and hold various designations such as Chief Minister, Minister, Chairman, Speaker, or Member of the Legislative Assembly."
3,"Elected Official, Local Bodies",1111.0300,1113.10,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Legislators,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to management. It encompasses broad functional leadership or operational responsibility across various industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials, and legislators, emphasizing domain-specific management, supervision, or technical expertise. It encompasses occupations that require advanced management, leadership, or technical skills in specific areas, often serving as advisors or decision-makers within executive, official, or legislative bodies.","Legislators and Senior Officials 
This group consists of occupations that perform high-level decision-making, leadership, and policy development roles within organizations. They share common skill sets such as strategic thinking, communication, and problem-solving to contribute to the overall success of their organizations.","This family includes closely related job roles centered around legislators, with shared responsibilities, tools, and work objectives. It encompasses various occupations that involve making, amending, or repealing laws and policies at the local, state, or national level.","Elected officials in local bodies serve in various capacities, performing administrative, executive, or advisory functions in areas such as public health, education, infrastructure development, taxation, and law enforcement for the benefit of local communities.  Designations for these officials vary by work performed or post held, including roles such as mayor, councillor, chairman, member, and sarpanch, among others."
4,"Legislators, Other",1111.9900,1119.90,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Legislators,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to management. It encompasses broad functional leadership or operational responsibility across various industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials, and legislators, emphasizing domain-specific management, supervision, or technical expertise. It encompasses occupations that require advanced management, leadership, or technical skills in specific areas, often serving as advisors or decision-makers within executive, official, or legislative bodies.","Legislators and Senior Officials 
This group consists of occupations that perform high-level decision-making, leadership, and policy development roles within organizations. They share common skill sets such as strategic thinking, communication, and problem-solving to contribute to the overall success of their organizations.","This family includes closely related job roles centered around legislators, with shared responsibilities, tools, and work objectives. It encompasses various occupations that involve making, amending, or repealing laws and policies at the local, state, or national level.","Senior government officials advise governments on policy matters, oversee the interpretation and implementation of government policies and legislation, and represent their country abroad. They plan, organize, direct, control, and evaluate the overall activities of government departments, boards, and agencies in accordance with established legislation and policies."
5,"Administrative Official, Union Government",1112.0100,1121.10,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Senior Government Officials,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to management. It encompasses broad functional leadership or operational responsibility across various industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials, and legislators, emphasizing domain-specific management, supervision, or technical expertise. It encompasses occupations that require advanced management, leadership, or technical skills in specific areas, often serving as advisors or decision-makers within executive, official, or legislative bodies.","Legislators and Senior Officials 
This group consists of occupations that perform high-level decision-making, leadership, and policy development roles within organizations. They share common skill sets such as strategic thinking, communication, and problem-solving to contribute to the overall success of their organizations.","This family includes closely related job roles centered around senior government officials, with shared responsibilities, tools, and work objectives. It encompasses occupations that involve high-level decision-making, policy development, and leadership within government institutions.","Senior Government Officials serve in various capacities under the Union Government, performing administrative and advisory functions such as advising ministers, organizing ministry work, and supervising policy implementation. Designations include Member of the Union Public Service Commission, Secretary to the Government of India, Director-General, and Commissioner, among others, each with specific responsibilities and areas of authority."
6,Diplomat,1112.0200,1121.20,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Senior Government Officials,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to management. It encompasses broad functional leadership or operational responsibility across various industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials, and legislators, emphasizing domain-specific management, supervision, or technical expertise. It encompasses occupations that require advanced management, leadership, or technical skills in specific areas, often serving as advisors or decision-makers within executive, official, or legislative bodies.","Legislators and Senior Officials 
This group consists of occupations that perform high-level decision-making, leadership, and policy development roles within organizations. They share common skill sets such as strategic thinking, communication, and problem-solving to contribute to the overall success of their organizations.","This family includes closely related job roles centered around senior government officials, with shared responsibilities, tools, and work objectives. It encompasses occupations that involve high-level decision-making, policy development, and leadership within government institutions.","The diplomat represents the Union of India in foreign countries, international organizations, and diplomatic meetings, interpreting government policies and advising on matters of foreign relations, trade, and commerce. They negotiate agreements, issue visas, promote national interests, and ensure the welfare of Indians abroad, with their designation varying according to rank or work performed."
7,"Executive Officials, Union Government",1112.0300,1121.30,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Senior Government Officials,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to management. It encompasses broad functional leadership or operational responsibility across various industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials, and legislators, emphasizing domain-specific management, supervision, or technical expertise. It encompasses occupations that require advanced management, leadership, or technical skills in specific areas, often serving as advisors or decision-makers within executive, official, or legislative bodies.","Legislators and Senior Officials 
This group consists of occupations that perform high-level decision-making, leadership, and policy development roles within organizations. They share common skill sets such as strategic thinking, communication, and problem-solving to contribute to the overall success of their organizations.","This family includes closely related job roles centered around senior government officials, with shared responsibilities, tools, and work objectives. It encompasses occupations that involve high-level decision-making, policy development, and leadership within government institutions.","The Government Executive Official, Union Government, is responsible for implementing policies and decisions, as well as supervising the performance of other executives and field duties. This role encompasses various designations, including Commissioner, Director, Collector, and Officer, with responsibilities such as revenue assessment, passport issuance, election supervision, and enforcement of laws and regulations."
8,"Administrative Official, State Government",1112.0400,1122.10,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Senior Government Officials,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to management. It encompasses broad functional leadership or operational responsibility across various industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials, and legislators, emphasizing domain-specific management, supervision, or technical expertise. It encompasses occupations that require advanced management, leadership, or technical skills in specific areas, often serving as advisors or decision-makers within executive, official, or legislative bodies.","Legislators and Senior Officials 
This group consists of occupations that perform high-level decision-making, leadership, and policy development roles within organizations. They share common skill sets such as strategic thinking, communication, and problem-solving to contribute to the overall success of their organizations.","This family includes closely related job roles centered around senior government officials, with shared responsibilities, tools, and work objectives. It encompasses occupations that involve high-level decision-making, policy development, and leadership within government institutions.","Senior Government Officials serve in various capacities within State Government, performing administrative and advisory functions that include advising ministers, organizing departmental work, and supervising policy implementation. Designations include Governor, Rajyapal, Lieutenant Governor, and various secretarial and departmental roles such as Chief Secretary, Commissioner, and Director."
9,"Executive Official, State Government",1112.0500,1122.20,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Senior Government Officials,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to management. It encompasses broad functional leadership or operational responsibility across various industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials, and legislators, emphasizing domain-specific management, supervision, or technical expertise. It encompasses occupations that require advanced management, leadership, or technical skills in specific areas, often serving as advisors or decision-makers within executive, official, or legislative bodies.","Legislators and Senior Officials 
This group consists of occupations that perform high-level decision-making, leadership, and policy development roles within organizations. They share common skill sets such as strategic thinking, communication, and problem-solving to contribute to the overall success of their organizations.","This family includes closely related job roles centered around senior government officials, with shared responsibilities, tools, and work objectives. It encompasses occupations that involve high-level decision-making, policy development, and leadership within government institutions.","The Government Executive Official, State Government is responsible for implementing policies and decisions, overseeing various executive and field duties, and enforcing laws and regulations in their designated capacity. Designations include Collector, Deputy Collector, and other roles such as Superintendent of Police, Sales-Tax Officer, and District Planning Officer, among others."
10,"Administrative and Executive Officials, Quasi Government (Central)",1112.0600,1123.10,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Senior Government Officials,"This division includes occupations responsible for planning, directing, coordinating, or executing core functions related to management. It encompasses broad functional leadership or operational responsibility across various industries.","This sub-division groups occupations that focus on specialized functional areas within chief executives, senior officials, and legislators, emphasizing domain-specific management, supervision, or technical expertise. It encompasses occupations that require advanced management, leadership, or technical skills in specific areas, often serving as advisors or decision-makers within executive, official, or legislative bodies.","Legislators and Senior Officials 
This group consists of occupations that perform high-level decision-making, leadership, and policy development roles within organizations. They share common skill sets such as strategic thinking, communication, and problem-solving to contribute to the overall success of their organizations.","This family includes closely related job roles centered around senior government officials, with shared responsibilities, tools, and work objectives. It encompasses occupations that involve high-level decision-making, policy development, and leadership within government institutions.","Senior government officials and quasi-government officials plan, organize, coordinate, and control activities within their delegated authority, overseeing organizations, departments, or sections. This role includes various positions such as chairman, secretary, director-general, and controller, across different organizations and commissions."
